2024-03-04 06:32:29,617 INFO    StreamThr :13778 [internal.py:wandb_internal():86] W&B internal server running at pid: 13778, started at: 2024-03-04 06:32:29.616159
2024-03-04 06:32:29,619 DEBUG   HandlerThread:13778 [handler.py:handle_request():146] handle_request: status
2024-03-04 06:32:29,619 INFO    WriterThread:13778 [datastore.py:open_for_write():87] open: /users/eleves-b/2021/mathilde.cros/Bachelor-Thesis-Alzheimers-HGNN/wandb/run-20240304_063228-bkiprsnl/run-bkiprsnl.wandb
2024-03-04 06:32:29,622 DEBUG   SenderThread:13778 [sender.py:send():382] send: header
2024-03-04 06:32:29,622 DEBUG   SenderThread:13778 [sender.py:send():382] send: run
2024-03-04 06:32:30,013 INFO    SenderThread:13778 [dir_watcher.py:__init__():211] watching files in: /users/eleves-b/2021/mathilde.cros/Bachelor-Thesis-Alzheimers-HGNN/wandb/run-20240304_063228-bkiprsnl/files
2024-03-04 06:32:30,013 INFO    SenderThread:13778 [sender.py:_start_run_threads():1136] run started: bkiprsnl with start time 1709530348.780007
2024-03-04 06:32:30,028 DEBUG   HandlerThread:13778 [handler.py:handle_request():146] handle_request: check_version
2024-03-04 06:32:30,028 DEBUG   SenderThread:13778 [sender.py:send_request():409] send_request: check_version
2024-03-04 06:32:30,125 DEBUG   HandlerThread:13778 [handler.py:handle_request():146] handle_request: run_start
2024-03-04 06:32:30,126 DEBUG   HandlerThread:13778 [system_info.py:__init__():27] System info init
2024-03-04 06:32:30,126 DEBUG   HandlerThread:13778 [system_info.py:__init__():42] System info init done
2024-03-04 06:32:30,127 INFO    HandlerThread:13778 [system_monitor.py:start():194] Starting system monitor
2024-03-04 06:32:30,127 INFO    SystemMonitor:13778 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-04 06:32:30,127 INFO    HandlerThread:13778 [system_monitor.py:probe():214] Collecting system info
2024-03-04 06:32:30,128 INFO    SystemMonitor:13778 [interfaces.py:start():190] Started cpu monitoring
2024-03-04 06:32:30,129 INFO    SystemMonitor:13778 [interfaces.py:start():190] Started disk monitoring
2024-03-04 06:32:30,129 INFO    SystemMonitor:13778 [interfaces.py:start():190] Started gpu monitoring
2024-03-04 06:32:30,130 INFO    SystemMonitor:13778 [interfaces.py:start():190] Started memory monitoring
2024-03-04 06:32:30,130 INFO    SystemMonitor:13778 [interfaces.py:start():190] Started network monitoring
2024-03-04 06:32:30,160 DEBUG   HandlerThread:13778 [system_info.py:probe():151] Probing system
2024-03-04 06:32:30,161 DEBUG   HandlerThread:13778 [system_info.py:_probe_git():136] Probing git
2024-03-04 06:32:30,191 DEBUG   HandlerThread:13778 [system_info.py:_probe_git():144] Probing git done
2024-03-04 06:32:30,191 DEBUG   HandlerThread:13778 [system_info.py:probe():199] Probing system done
